project_group,group_role,member_name,member_portfolio,decision_date,official_decision_url,last_verified
Water Resilience,member,Wopke Hoekstra,"Climate, Net Zero and Clean Growth",2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Jozef Síkela,International Partnerships,2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Costas Kadis,Fisheries and Oceans,2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Hadja Lahbib,Equality; Preparedness and Crisis Management,2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,chair,Jessika Roswall,"Environment, Water Resilience and a Competitive Circular Economy",2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Ekaterina Zaharieva,"Startups, Research and Innovation",2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Water Resilience,member,Christophe Hansen,Agriculture and Food,2025-01-07,https://commission.europa.eu/document/download/281adfa6-0d4f-4cd4-bfb7-b254c26eaa50_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+Water+Resilience.pdf,2026-04-21
Vision for Agriculture and Food,member,Teresa Ribera,"Clean, Just and Competitive Transition",2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Raffaele Fitto,Cohesion and Reforms,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Maroš Šefčovič,Trade and Economic Security; Interinstitutional Relations and Transparency,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Valdis Dombrovskis,Economy and Productivity; Implementation and Simplification,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Olivér Várhelyi,Health and Animal Welfare,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Wopke Hoekstra,"Climate, Net Zero and Clean Growth",2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Costas Kadis,Fisheries and Oceans,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Jessika Roswall,"Environment, Water Resilience and a Competitive Circular Economy",2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,member,Piotr Serafin,"Budget, Anti-Fraud and Public Administration",2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
Vision for Agriculture and Food,chair,Christophe Hansen,Agriculture and Food,2025-01-07,https://commission.europa.eu/document/download/3aa3fe36-47df-4f91-806a-ba0bc83de903_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+Vision+for+Argiculture+and+Food.pdf,2026-04-21
European Savings and Investments Union,member,Stéphane Séjourné,Prosperity and Industrial Strategy,2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
European Savings and Investments Union,member,Roxana Mînzatu,"Social Rights and Skills, Quality Jobs and Preparedness",2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
European Savings and Investments Union,member,Valdis Dombrovskis,Economy and Productivity; Implementation and Simplification,2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
European Savings and Investments Union,member,Wopke Hoekstra,"Climate, Net Zero and Clean Growth",2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
European Savings and Investments Union,chair,Maria Luís Albuquerque,Financial Services and the Savings and Investments Union,2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
European Savings and Investments Union,member,Ekaterina Zaharieva,"Startups, Research and Innovation",2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
European Savings and Investments Union,member,Michael McGrath,"Democracy, Justice, the Rule of Law and Consumer Protection",2025-01-07,https://commission.europa.eu/document/download/d610a29d-84e2-476f-9155-291545fdc6e3_en?filename=Decision+on+the+establishment+of+a+Commissioners%27+Project+Group+on+the+European+Saving+and+Investments+Union.pdf,2026-04-21
