mep_name,jurisdiction,political_group,email,staff_contact_name,staff_contact_email,staff_contact_phone,policy_briefs,committee_memberships,last_verified,role_tags,topic_tags
Viktória FERENC,Hungary,PfE,viktoria.ferenc@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Jonás FERNÁNDEZ,Spain,S&D,jonas.fernandez@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; Digital taxation,ECON,2024-12-15,,
Carlo FIDANZA,Italy,ECR,carlo.fidanza@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; ECR leader,AFET,2024-12-15,,
Pietro FIOCCHI,Italy,ECR,pietro.fiocchi@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Gabriela FIREA,Romania,S&D,gabriela.firea@europarl.europa.eu,N/A,N/A,N/A,Women's rights,FEMM,2024-12-15,,
Ruth FIRMENICH,Germany,NI,ruth.firmenich@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Claire FITA,France,S&D,claire.fita@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Luke Ming FLANAGAN,Ireland,The Left,lukeming.flanagan@europarl.europa.eu,N/A,N/A,N/A,Budget control; Agriculture,CONT; AGRI,2024-12-15,,
Loucas FOURLAS,Cyprus,EPP,loucas.fourlas@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; Child rights,LIBE,2024-12-15,,
Emma FOURREAU,France,The Left,emma.fourreau@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Emmanouil FRAGKOS,Greece,ECR,emmanouil.fragkos@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Daniel FREUND,Germany,Greens/EFA,daniel.freund@europarl.europa.eu,N/A,N/A,N/A,Budget control; Rule of law; Transparency,CONT; LIBE,2024-12-15,,
Anne-Sophie FRIGOUT,France,PfE,annesophie.frigout@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Sigrid FRIIS,Denmark,Renew,sigrid.friis@europarl.europa.eu,N/A,N/A,N/A,Environment,ENVI,2024-12-15,,
Heléne FRITZON,Sweden,S&D,helene.fritzon@europarl.europa.eu,N/A,N/A,N/A,Employment; Women's rights,EMPL; FEMM,2024-12-15,,"women-rights, employment, social-policy"
Tomasz FROELICH,Germany,ESN,tomasz.froelich@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Niels FUGLSANG,Denmark,S&D,niels.fuglsang@europarl.europa.eu,N/A,N/A,N/A,Industry; Energy; Climate,ITRE; ENVI,2024-12-15,,
Kathleen FUNCHION,Ireland,The Left,kathleen.funchion@europarl.europa.eu,N/A,N/A,N/A,Employment; Social affairs,EMPL,2024-12-15,,"women-rights, employment, social-policy"
Angéline FURET,France,PfE,angeline.furet@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Mario FURORE,Italy,The Left,mario.furore@europarl.europa.eu,N/A,N/A,N/A,Legal affairs,JURI,2024-12-15,,
Michael GAHLER,Germany,EPP,michael.gahler@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Security,AFET; SEDE,2024-12-15,,
Kinga GÁL,Hungary,PfE,kinga.gal@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,,
Estrella GALÁN,Spain,The Left,estrella.galan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties - LIBE Vice-Chair; Human rights; Migration,LIBE,2024-12-15,,
Lina GÁLVEZ,Spain,S&D,lina.galvez@europarl.europa.eu,N/A,N/A,N/A,Women's rights; Employment,FEMM; EMPL,2024-12-15,,
Alberico GAMBINO,Italy,ECR,alberico.gambino@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs - AFET Vice-Chair,AFET,2024-12-15,,
Iratxe GARCÍA PÉREZ,Spain,S&D,iratxe.garciaperez@europarl.europa.eu,N/A,N/A,N/A,Women's rights; S&D Group President,FEMM,2024-12-15,,
Raquel GARCÍA HERMIDA-VAN DER WALLE,Netherlands,Renew,raquel.garciahermidavanderwalle@europarl.europa.eu,N/A,N/A,N/A,Internal market,IMCO,2024-12-15,,
Jean-Paul GARRAUD,France,PfE,jeanpaul.garraud@europarl.europa.eu,N/A,N/A,N/A,Civil liberties,LIBE,2024-12-15,,
Kamila GASIUK-PIHOWICZ,Poland,EPP,kamila.gasiukpihowicz@europarl.europa.eu,N/A,N/A,N/A,Internal market - IMCO Vice-Chair,IMCO,2024-12-15,,
Geadis GEADI,Cyprus,ECR,geadis.geadi@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Hanna GEDIN,Sweden,The Left,hanna.gedin@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
Alexandra GEESE,Germany,Greens/EFA,alexandra.geese@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; AI ethics; Algorithmic accountability; Digital rights,LIBE,2024-12-15,,"women-rights, digital-rights, gender-equality"
Jens GEIER,Germany,S&D,jens.geier@europarl.europa.eu,N/A,N/A,N/A,Budgets,BUDG,2024-12-15,,
Thomas GEISEL,Germany,NI,thomas.geisel@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Chiara GEMMA,Italy,ECR,chiara.gemma@europarl.europa.eu,N/A,N/A,N/A,Women's rights,FEMM,2024-12-15,,
Giorgos GEORGIOU,Cyprus,The Left,giorgos.georgiou@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Gerben-Jan GERBRANDY,Netherlands,Renew,gerbenjan.gerbrandy@europarl.europa.eu,N/A,N/A,N/A,Environment; Climate,ENVI,2024-12-15,,
Jean-Marc GERMAIN,France,S&D,jeanmarc.germain@europarl.europa.eu,N/A,N/A,N/A,Employment,EMPL,2024-12-15,,
Gabriella GERZSENYI,Hungary,EPP,gabriella.gerzsenyi@europarl.europa.eu,N/A,N/A,N/A,General affairs,,2024-12-15,,
Niels GEUKING,Germany,EPP,niels.geuking@europarl.europa.eu,N/A,N/A,N/A,Family policy,FEMM,2024-12-15,,
Jens GIESEKE,Germany,EPP,jens.gieseke@europarl.europa.eu,N/A,N/A,N/A,Environment; Agriculture,ENVI; AGRI,2024-12-15,,
Borja GIMÉNEZ LARRAZ,Spain,EPP,borja.gimenezlarraz@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs,AFET,2024-12-15,,
Juan Carlos GIRAUTA VIDAL,Spain,PfE,juancarlos.girautavidal@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs,AFCO,2024-12-15,,
Sunčana GLAVAK,Croatia,EPP,suncana.glavak@europarl.europa.eu,N/A,N/A,N/A,Industry; Transport,ITRE; TRAN,2024-12-15,,
Andreas GLÜCK,Germany,Renew Europe,andreas.glueck@europarl.europa.eu,N/A,N/A,N/A,Environment; public health; energy policy; medical affairs,ENVI; ITRE; SANT,2024-12-15,,
Raphaël GLUCKSMANN,France,S&D,raphael.glucksmann@europarl.europa.eu,N/A,N/A,N/A,Foreign interference; human rights; democratic resilience; Ukraine; anti-disinformation; China relations,AFET; INTA; SEDE; EUDS,2024-12-15,,
Charles GOERENS,Luxembourg,Renew Europe,charles.goerens@europarl.europa.eu,N/A,N/A,N/A,Development policy; constitutional affairs; European political parties funding,AFCO; DEVE; AGRI,2024-12-15,coordinator; vice_chair,
Christophe GOMART,France,EPP,christophe.gomart@europarl.europa.eu,N/A,N/A,N/A,Defense; security policy,AFET; SEDE,2024-12-15,,
Isilda GOMES,Portugal,S&D,isilda.gomes@europarl.europa.eu,N/A,N/A,N/A,Social affairs; regional development,REGI; EMPL,2024-12-15,,
Sandra GÓMEZ LÓPEZ,Spain,S&D,sandra.gomezlopez@europarl.europa.eu,N/A,N/A,N/A,Social policy; urban development,EMPL; REGI,2024-12-15,,
Bruno GONÇALVES,Portugal,S&D,bruno.goncalves@europarl.europa.eu,N/A,N/A,N/A,Digital policy; industry; research,ITRE; IMCO,2024-12-15,,
Sérgio GONÇALVES,Portugal,S&D,sergio.goncalves@europarl.europa.eu,N/A,N/A,N/A,Regional development; cohesion policy,REGI; BUDG,2024-12-15,,
Nicolás GONZÁLEZ CASARES,Spain,S&D,nicolas.gonzalezcasares@europarl.europa.eu,N/A,N/A,N/A,Renewable energy; clean energy transition; Digital Services; electricity market reform,ITRE; ENVI; SANT; PECH,2024-12-15,,
Esteban GONZÁLEZ PONS,Spain,EPP,esteban.gonzalezpons@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; rule of law; EU institutional reform,JURI; AFCO,2024-12-15,,
Giorgio GORI,Italy,S&D,giorgio.gori@europarl.europa.eu,N/A,N/A,N/A,Digital policy; industry; research; energy,ITRE,2024-12-15,vice_chair,
Małgorzata GOSIEWSKA,Poland,ECR,malgorzata.gosiewska@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense,AFET; SEDE,2024-12-15,,
Dirk GOTINK,Netherlands,EPP,dirk.gotink@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO,2024-12-15,,
Sandro GOZI,France,Renew Europe,sandro.gozi@europarl.europa.eu,N/A,N/A,N/A,Constitutional affairs; EU reform; digital single market,IMCO; AFCO,2024-12-15,,
Maria GRAPINI,Romania,S&D,maria.grapini@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; SMEs; Digital Services Act,IMCO,2024-12-15,vice_chair,
Petras GRAŽULIS,Lithuania,ESN,petras.grazulis@europarl.europa.eu,N/A,N/A,N/A,Sovereignty; traditional values,ITRE,2024-12-15,,
Markéta GREGOROVÁ,Czechia,Greens/EFA,marketa.gregorova@europarl.europa.eu,N/A,N/A,N/A,Digital rights; disinformation; foreign interference; cybersecurity,ITRE; LIBE,2024-12-15,,
Branko GRIMS,Slovenia,EPP,branko.grims@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE,2024-12-15,,
Catherine GRISET,France,PfE,catherine.griset@europarl.europa.eu,N/A,N/A,N/A,Women's rights; fisheries,FEMM; PECH,2024-12-15,,
Hanna GRONKIEWICZ-WALTZ,Poland,EPP,hanna.gronkiewicz-waltz@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; banking; finance,ECON,2024-12-15,,
Bart GROOTHUIS,Netherlands,Renew Europe,bart.groothuis@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; NIS2 Directive; digital infrastructure; AI; data protection,ITRE; AFET; INTA,2024-12-15,,
Elisabeth GROSSMANN,Austria,S&D,elisabeth.grossmann@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO,2024-12-15,,
Christophe GRUDLER,France,Renew Europe,christophe.grudler@europarl.europa.eu,N/A,N/A,N/A,Digital policy; energy; defense; space policy,ITRE; AFET,2024-12-15,coordinator,
Elisabetta GUALMINI,Italy,S&D,elisabetta.gualmini@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; employment,ITRE; EMPL,2024-12-15,,
Cristina GUARDA,Italy,Greens/EFA,cristina.guarda@europarl.europa.eu,N/A,N/A,N/A,Environment; climate; agriculture,ENVI; AGRI,2024-12-15,,
Bernard GUETTA,France,Renew Europe,bernard.guetta@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; European integration,AFET,2024-12-15,,
Martin GÜNTHER,Germany,The Left,martin.guenther@europarl.europa.eu,N/A,N/A,N/A,Social policy; labor rights,EMPL,2024-12-15,,
Maria GUZENINA,Finland,S&D,maria.guzenina@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; health,IMCO; ENVI,2024-12-15,,
Enikő GYŐRI,Hungary,PfE,eniko.gyori@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs,BUDG; ECON,2024-12-15,,
András GYÜRK,Hungary,PfE,andras.gyurk@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy,ITRE,2024-12-15,,
Michalis HADJIPANTELA,Cyprus,EPP,michalis.hadjipantela@europarl.europa.eu,N/A,N/A,N/A,Industry; research; health,ITRE; ENVI,2024-12-15,,
Svenja HAHN,Germany,Renew Europe,svenja.hahn@europarl.europa.eu,N/A,N/A,N/A,Digital markets; consumer protection; AI Act; Digital Services Act,IMCO,2024-12-15,,
Roman HAIDER,Austria,PfE,roman.haider@europarl.europa.eu,N/A,N/A,N/A,Budget; economic affairs,BUDG; ECON,2024-12-15,,
Andrzej HALICKI,Poland,EPP,andrzej.halicki@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; rule of law,LIBE,2024-12-15,,
Niels Flemming HANSEN,Denmark,EPP,nielsflemming.hansen@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy,ITRE,2024-12-15,,
Rima HASSAN,France,The Left,rima.hassan@europarl.europa.eu,N/A,N/A,N/A,Human rights; foreign affairs,AFET; DROI,2024-12-15,,
Gerald HAUSER,Austria,PfE,gerald.hauser@europarl.europa.eu,N/A,N/A,N/A,Health; agriculture,ENVI; AGRI,2024-12-15,,
Martin HÄUSLING,Germany,Greens/EFA,martin.haeusling@europarl.europa.eu,N/A,N/A,N/A,Agriculture; food safety; environment,AGRI; ENVI,2024-12-15,,
Mircea-Gheorghe HAVA,Romania,EPP,mirceagheorghe.hava@europarl.europa.eu,N/A,N/A,N/A,Regional development; transport,REGI; TRAN,2024-12-15,,
Valérie HAYER,France,Renew Europe,valerie.hayer@europarl.europa.eu,N/A,N/A,N/A,Budget; EU funding; European affairs - Renew Europe Group President,BUDG; Conference of Presidents,2024-12-15,,
Anja HAZEKAMP,Netherlands,The Left,anja.hazekamp@europarl.europa.eu,N/A,N/A,N/A,Animal welfare; environment; fisheries,ENVI; PECH,2024-12-15,,
Hannes HEIDE,Austria,S&D,hannes.heide@europarl.europa.eu,N/A,N/A,N/A,Culture; education; regional development; civil liberties,CULT; REGI; LIBE,2024-12-15,,
Eero HEINÄLUOMA,Finland,S&D,eero.heinaluoma@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; economic affairs,ITRE; ECON,2024-12-15,,
Anna-Maja HENRIKSSON,Finland,Renew Europe,anna-maja.henriksson@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; civil liberties; justice,IMCO; LIBE,2024-12-15,,
Niclas HERBST,Germany,EPP,niclas.herbst@europarl.europa.eu,N/A,N/A,N/A,Budget; regional development,BUDG; REGI,2024-12-15,,
Esther HERRANZ GARCÍA,Spain,EPP,esther.herranzgarcia@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,,
Krzysztof HETMAN,Poland,EPP,krzysztof.hetman@europarl.europa.eu,N/A,N/A,N/A,Industry; research; agriculture,ITRE; AGRI,2024-12-15,,
Monika HOHLMEIER,Germany,EPP,monika.hohlmeier@europarl.europa.eu,N/A,N/A,N/A,Budgetary control; counter-terrorism; security; AI in law enforcement,CONT; LIBE,2024-12-15,chair; cont_chair,
Martin HOJSÍK,Slovakia,Renew Europe,martin.hojsik@europarl.europa.eu,N/A,N/A,N/A,Environment; industry; employment - EP Vice-President,EMPL; ENVI; ITRE,2024-12-15,,
Pär HOLMGREN,Sweden,Greens/EFA,par.holmgren@europarl.europa.eu,N/A,N/A,N/A,Climate; environment; transport,ENVI; TRAN,2024-12-15,,
György HÖLVÉNYI,Hungary,PfE,gyorgy.holvenyi@europarl.europa.eu,N/A,N/A,N/A,Development; foreign affairs,DEVE; AFET,2024-12-15,,
Alicia HOMS GINEL,Spain,S&D,alicia.homsginel@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,,
Sérgio HUMBERTO,Portugal,EPP,sergio.humberto@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15,,
Ivars IJABS,Latvia,Renew Europe,ivars.ijabs@europarl.europa.eu,N/A,N/A,N/A,AI; digital transformation; research funding; late payments - STOA Vice-Chair; AI Intergroup member,ITRE; IMCO; ECON,2024-12-15,,
Céline IMART,France,EPP,celine.imart@europarl.europa.eu,N/A,N/A,N/A,Agriculture; food policy,AGRI,2024-12-15,,
Evin INCIR,Sweden,S&D,evin.incir@europarl.europa.eu,N/A,N/A,N/A,Human rights; civil liberties; gender-based violence; migration; digital rights,LIBE; AFET; EUDS,2024-12-15,,"women-rights, migration, gender-based-violence"
Paolo INSELVINI,Italy,ECR,paolo.inselvini@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE,2024-12-15,,
Diana IOVANOVICI ŞOŞOACĂ,Romania,NI,diana.iovanovici@europarl.europa.eu,N/A,N/A,N/A,Industry; women's rights,ITRE; FEMM,2024-12-15,,
Patryk JAKI,Poland,ECR,patryk.jaki@europarl.europa.eu,N/A,N/A,N/A,Rule of law; migration; EU institutional reform - ECR Co-Chairman,ITRE; AFCO; Conference of Presidents,2024-12-15,,
Hana JALLOUL MURO,Spain,S&D,hana.jalloul@europarl.europa.eu,N/A,N/A,N/A,International terrorism; foreign affairs; Middle East; migration,AFET; INTA; PETI; DROI,2024-12-15,vice_chair,
France JAMET,France,PfE,france.jamet@europarl.europa.eu,N/A,N/A,N/A,Regional policy; fisheries; housing,PECH; REGI; HOUS,2024-12-15,,
Adam JARUBAS,Poland,EPP,adam.jarubas@europarl.europa.eu,N/A,N/A,N/A,Public health; digital health; green transformation - SANT Committee Chair,SANT; ITRE; ENVI,2024-12-15,chair; sant_chair,
Romana JERKOVIĆ,Croatia,S&D,romana.jerkovic@europarl.europa.eu,N/A,N/A,N/A,Energy; environment; regional development,ITRE; ENVI; REGI,2024-12-15,,
Marc JONGEN,Germany,ESN,marc.jongen@europarl.europa.eu,N/A,N/A,N/A,Culture; education,CULT,2024-12-15,,
Dariusz JOŃSKI,Poland,EPP,dariusz.jonski@europarl.europa.eu,N/A,N/A,N/A,Budget; budgetary control,BUDG; CONT,2024-12-15,,
Virginie JORON,France,PfE,virginie.joron@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; petitions,IMCO; PETI,2024-12-15,,
Pierre JOUVET,France,S&D,pierre.jouvet@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO,2024-12-15,,
Irena JOVEVA,Slovenia,Renew Europe,irena.joveva@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; culture,LIBE; CULT,2024-12-15,,
Rasa JUKNEVIČIENĖ,Lithuania,EPP,rasa.jukneviciene@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; defense; civil liberties,AFET; SEDE; LIBE,2024-12-15,,
Nora JUNCO GARCÍA,Spain,ECR,nora.juncogarcia@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,,
Alexander JUNGBLUTH,Germany,ESN,alexander.jungbluth@europarl.europa.eu,N/A,N/A,N/A,Economic affairs,ECON,2024-12-15,,
Taner KABILOV,Bulgaria,NI,taner.kabilov@europarl.europa.eu,N/A,N/A,N/A,Regional development; agriculture,REGI; AGRI,2024-12-15,,
François KALFON,France,S&D,francois.kalfon@europarl.europa.eu,N/A,N/A,N/A,Space law; internal market - IMCO Space Law Rapporteur,IMCO,2024-12-15,rapporteur,
Erik KALIŇÁK,Slovakia,NI,erik.kalinak@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice,LIBE,2024-12-15,,
Marina KALJURAND,Estonia,S&D,marina.kaljurand@europarl.europa.eu,N/A,N/A,N/A,Cybersecurity; digital identity; data protection; foreign affairs - Former Foreign Minister,LIBE; IMCO,2024-12-15,vice_chair,
Sandra KALNIETE,Latvia,EPP,sandra.kalniete@europarl.europa.eu,N/A,N/A,N/A,Russia relations; disinformation; Ukraine; sanctions; democracy shield - Former EU Commissioner,AFET; INTA; CULT; EUDS,2024-12-15,vice_chair,
Mariusz KAMIŃSKI,Poland,ECR,mariusz.kaminski@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; justice; home affairs,LIBE,2024-12-15,,
Radan KANEV,Bulgaria,EPP,radan.kanev@europarl.europa.eu,N/A,N/A,N/A,Industry; research; rule of law,ITRE; LIBE,2024-12-15,,
Assita KANKO,Belgium,ECR,assita.kanko@europarl.europa.eu,N/A,N/A,N/A,Migration; security; civil liberties,LIBE,2024-12-15,,
Karin KARLSBRO,Sweden,Renew Europe,karin.karlsbro@europarl.europa.eu,N/A,N/A,N/A,Trade; environment,INTA; ENVI,2024-12-15,,
Fernand KARTHEISER,Luxembourg,NI,fernand.kartheiser@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; constitutional affairs,AFET; AFCO,2024-12-15,,
Ľubica KARVAŠOVÁ,Slovakia,Renew Europe,lubica.karvasova@europarl.europa.eu,N/A,N/A,N/A,Environment; women's rights,ENVI; FEMM,2024-12-15,,
Elsi KATAINEN,Finland,Renew Europe,elsi.katainen@europarl.europa.eu,N/A,N/A,N/A,Agriculture; regional development,AGRI; REGI,2024-12-15,,
Emmanouil KEFALOGIANNIS,Greece,EPP,emmanouil.kefalogiannis@europarl.europa.eu,N/A,N/A,N/A,Agriculture; fisheries,AGRI; PECH,2024-12-15,,
Billy KELLEHER,Ireland,Renew Europe,billy.kelleher@europarl.europa.eu,N/A,N/A,N/A,Health; legal affairs,ENVI; JURI,2024-12-15,,
Fabienne KELLER,France,Renew Europe,fabienne.keller@europarl.europa.eu,N/A,N/A,N/A,Migration; asylum policy; civil liberties,LIBE,2024-12-15,,
Seán KELLY,Ireland,EPP,sean.kelly@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; digital infrastructure,ITRE,2024-12-15,,
Martine KEMP,Luxembourg,EPP,martine.kemp@europarl.europa.eu,N/A,N/A,N/A,Employment; social affairs,EMPL,2024-12-15,,
Rudi KENNES,Belgium,The Left,rudi.kennes@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy,ITRE,2024-12-15,,
Mary KHAN,Germany,ESN,mary.khan@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; legal affairs; internal market,LIBE; JURI; IMCO,2024-12-15,,
Sophia KIRCHER,Austria,EPP,sophia.kircher@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection,IMCO,2024-12-15,,
Sarah KNAFO,France,ESN,sarah.knafo@europarl.europa.eu,N/A,N/A,N/A,Industry; economic affairs,ITRE; ECON,2024-12-15,,
Ondřej KNOTEK,Czechia,PfE,ondrej.knotek@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy,ITRE,2024-12-15,,
Jaroslav KNOT,Czechia,PfE,jaroslav.knot@europarl.europa.eu,N/A,N/A,N/A,Agriculture; environment,AGRI; ENVI,2024-12-15,,
Michał KOBOSKO,Poland,Renew Europe,michal.kobosko@europarl.europa.eu,N/A,N/A,N/A,Digital policy; industry; foreign affairs,ITRE; AFET; IMCO,2024-12-15,,
Stefan KÖHLER,Germany,EPP,stefan.koehler@europarl.europa.eu,N/A,N/A,N/A,Agriculture; rural development,AGRI,2024-12-15,,
Łukasz KOHUT,Poland,EPP,lukasz.kohut@europarl.europa.eu,N/A,N/A,N/A,Culture; employment,CULT; EMPL,2024-12-15,,
Arba KOKALARI,Sweden,EPP,arba.kokalari@europarl.europa.eu,N/A,N/A,N/A,Internal market; consumer protection; Digital Services,IMCO,2024-12-15,,
Ondřej KOLÁŘ,Czechia,EPP,ondrej.kolar@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; security,AFET; SEDE,2024-12-15,,
Kinga KOLLÁR,Hungary,EPP,kinga.kollar@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; women's rights,LIBE; FEMM,2024-12-15,,
Rihards KOLS,Latvia,ECR,rihards.kols@europarl.europa.eu,N/A,N/A,N/A,Industry; research; foreign affairs,ITRE; AFET,2024-12-15,,
Kateřina KONEČNÁ,Czechia,NI,katerina.konecna@europarl.europa.eu,N/A,N/A,N/A,Internal market; environment,IMCO; ENVI,2024-12-15,,
Ewa KOPACZ,Poland,EPP,ewa.kopacz@europarl.europa.eu,N/A,N/A,N/A,Health; EU institutional affairs - Former Prime Minister of Poland,ENVI; AFCO,2024-12-15,,
Moritz KÖRNER,Germany,Renew Europe,moritz.koerner@europarl.europa.eu,N/A,N/A,N/A,AI; digital policy; cybersecurity; data protection; civil liberties - AI Intergroup member,LIBE; BUDG,2024-12-15,,
Elena KOUNTOURA,Greece,The Left,elena.kountoura@europarl.europa.eu,N/A,N/A,N/A,Tourism; transport; women's rights,TRAN; FEMM,2024-12-15,,"women-rights, transport, tourism"
Andrey KOVATCHEV,Bulgaria,EPP,andrey.kovatchev@europarl.europa.eu,N/A,N/A,N/A,Foreign affairs; Western Balkans,AFET,2024-12-15,,
Vilis KRIŠTOPANS,Latvia,PfE,vilis.kristopans@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; transport - Former Prime Minister of Latvia,ECON; TRAN,2024-12-15,,
Sebastian KRUIS,Netherlands,PfE,sebastian.kruis@europarl.europa.eu,N/A,N/A,N/A,Internal market; immigration,IMCO; LIBE,2024-12-15,,
Ondřej KRUTÍLEK,Czechia,ECR,ondrej.krutilek@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy; environment,ITRE; ENVI,2024-12-15,,
Tomáš KUBÍN,Czechia,PfE,tomas.kubin@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,,
Alice KUHNKE,Sweden,Greens/EFA,alice.kuhnke@europarl.europa.eu,N/A,N/A,N/A,Anti-corruption; LGBTQ+ rights; anti-racism; civil liberties - Greens/EFA Deputy Chair; Former Culture Minister,LIBE; IMCO; FEMM,2024-12-15,,"women-rights, anti-discrimination, gender-equality"
András Tivadar KULJA,Hungary,EPP,andrastivadar.kulja@europarl.europa.eu,N/A,N/A,N/A,Economic affairs; budget,ECON; BUDG,2024-12-15,,
Katri KULMUNI,Finland,Renew Europe,katri.kulmuni@europarl.europa.eu,N/A,N/A,N/A,Industry; research; finance,ITRE; ECON,2024-12-15,,
Merja KYLLÖNEN,Finland,The Left,merja.kyllonen@europarl.europa.eu,N/A,N/A,N/A,Transport; regional development,TRAN; REGI,2024-12-15,,
Ilhan KYUCHYUK,Bulgaria,Renew Europe,ilhan.kyuchyuk@europarl.europa.eu,N/A,N/A,N/A,Legal affairs; intellectual property; digital contracts - JURI Committee Chair,JURI; AFET,2024-12-15,chair; juri_chair,
Sergey LAGODINSKY,Germany,Greens/EFA,sergey.lagodinsky@europarl.europa.eu,N/A,N/A,N/A,Digital rights; AI liability; data protection; rule of law - JURI Coordinator (Greens); Greens/EFA Vice-Chair,JURI; ITRE; AFET,2024-12-15,coordinator,
Eszter LAKOS,Hungary,EPP,eszter.lakos@europarl.europa.eu,N/A,N/A,N/A,Industry; research; energy,ITRE,2024-12-15,,
Aurore LALUCQ,France,S&D,aurore.lalucq@europarl.europa.eu,N/A,N/A,N/A,Economic policy; sustainable finance,ECON,2024-12-15,,
Bernd LANGE,Germany,S&D,bernd.lange@europarl.europa.eu,N/A,N/A,N/A,Trade policy; digital trade; transatlantic relations; anti-coercion - INTA Committee Chair,INTA; ITRE,2024-12-15,chair; inta_chair,
Katrin LANGENSIEPEN,Germany,Greens/EFA,katrin.langensiepen@europarl.europa.eu,N/A,N/A,N/A,Disability rights; internal market; consumer protection; employment,IMCO; EMPL,2024-12-15,,
Judita LAŠŠÁKOVÁ,Slovakia,NI,judita.lassakova@europarl.europa.eu,N/A,N/A,N/A,Internal market; budget,IMCO; BUDG,2024-12-15,,
András LÁSZLÓ,Hungary,PfE,andras.laszlo@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; industry,LIBE; ITRE,2024-12-15,,
Afroditi LATINOPOULOU,Greece,PfE,afroditi.latinopoulou@europarl.europa.eu,N/A,N/A,N/A,Civil liberties; migration,LIBE,2024-12-15,,
